eventID,opcode,subblock,COMP-4c.avg
1,1011,0,16.16
1,1011,1,26.37
2,1113,0,163392.75
2,1113,1,50305.00
3,1090,0,160773.11
3,1090,1,16973.43
3,1090,2,13864.27
4,1113,0,146.46
5,1148,0,15.31
5,1148,1,15.00
6,1113,0,135.48
6,1113,1,30453.00
6,1113,2,8153.95
7,1090,0,14.00
8,1148,0,14.43
8,1148,1,15.00
9,1090,0,17803.00
9,1090,1,15465.76
10,1113,0,145.77
11,1148,0,14.41
11,1148,1,15.02
12,1113,0,164443.00
12,1113,1,130.98
12,1113,2,22187.00
12,1113,3,9536.00
13,1090,0,14.92
14,1148,0,15.17
14,1148,1,16.11
15,1004,0,45686.44
15,1004,1,48947.89
16,1010,0,14.58
17,1102,0,3073.52
17,1102,1,15.22
17,1102,2,321.22
18,1113,0,3388.00
18,1113,1,282.56
18,1113,2,56.26
19,1102,0,3144.50
19,1102,1,27.72
19,1102,2,318.70
20,1113,0,281.76
21,1113,0,143439.50
21,1113,1,286.95
21,1113,2,24.04
22,1090,0,141606.93
22,1090,1,5278.51
22,1090,2,7355.03
23,1113,0,135.96
24,1148,0,15.00
24,1148,1,14.86
25,1113,0,143749.00
25,1113,1,6644.00
25,1113,2,22187.00
25,1113,3,10606.88
26,1090,0,9899.07
26,1090,1,11328.33
27,1148,0,14.24
27,1148,1,14.74
28,1113,0,131.06
28,1113,1,4310.61
29,1090,0,14.00
30,1148,0,15.00
30,1148,1,15.97
31,1004,0,44405.82
31,1004,1,47536.30
32,1010,0,22.49
33,1102,0,3069.24
33,1102,1,15.07
33,1102,2,324.90
33,1102,3,48500.66
34,1113,0,3388.00
34,1113,1,284.35
34,1113,2,56.33
34,1113,3,49021.14
35,1102,0,3140.35
35,1102,1,27.33
35,1102,2,323.22
35,1102,3,49685.00
36,1113,0,285.46
37,1113,0,287.09
37,1113,1,17.73
38,1090,0,5344.19
38,1090,1,7384.32
39,1148,0,14.84
39,1148,1,14.82
40,1113,0,135.97
40,1113,1,274.03
40,1113,2,251.94
41,1148,0,14.91
41,1148,1,14.25
42,1102,0,442.32
43,1113,0,2568.92
43,1113,1,354.27
43,1113,2,12013.21
44,1090,0,9423.99
44,1090,1,11562.32
45,1148,0,14.27
45,1148,1,14.62
46,1113,0,131.09
46,1113,1,280.74
46,1113,2,239.84
47,1148,0,14.79
47,1148,1,15.90
48,1102,0,15.07
48,1102,1,594.66
48,1102,2,48641.37
49,1113,0,282.35
49,1113,1,56.31
49,1113,2,442.74
50,1102,0,27.30
50,1102,1,326.00
50,1102,2,49600.45
51,1113,0,287.09
51,1113,1,20.79
52,1004,0,6179.00
52,1004,1,5920.87
53,1113,0,3147.50
54,1090,0,2900.54
54,1090,1,4671.22
54,1090,2,7325.84
55,1113,0,135.98
56,1148,0,14.72
56,1148,1,14.34
57,1113,0,3263.00
57,1113,1,22187.00
57,1113,2,11099.23
58,1090,0,9545.93
58,1090,1,11104.96
59,1148,0,14.22
59,1148,1,14.65
60,1113,0,131.04
60,1113,1,4141.75
61,1090,0,14.00
62,1148,0,14.62
62,1148,1,15.89
63,1004,0,12075.49
63,1004,1,45679.67
63,1004,2,48945.65
64,1090,0,52.09
65,1148,0,16.21
66,1113,0,50.88
66,1113,1,17.00
67,1090,0,16.02
67,1090,1,16.62
68,1148,0,16.02
69,1113,0,50.00
69,1113,1,17.00
70,1113,0,17.00
70,1113,1,17.00
70,1113,2,17.00
71,1004,0,23.74
71,1004,1,24.00
72,1090,0,102.53
73,1148,0,15.00
74,1113,0,100.00
74,1113,1,18.00
75,1004,0,93.98
75,1004,1,75.60
75,1004,2,77.00
76,1090,0,117.53
77,1148,0,16.00
78,1113,0,110.00
78,1113,1,19.00
79,1004,0,92.27
79,1004,1,73.40
79,1004,2,75.00
80,1045,0,248.48
