eventID,opcode,subblock,COMP-4c.avg
1,1011,0,15.87
1,1011,1,26.37
2,1113,0,163392.38
2,1113,1,50305.00
3,1090,0,160772.86
3,1090,1,16973.43
3,1090,2,13864.07
4,1113,0,146.31
5,1148,0,15.28
5,1148,1,15.00
6,1113,0,135.30
6,1113,1,30453.00
6,1113,2,8153.95
7,1090,0,14.00
8,1148,0,15.00
8,1148,1,15.00
9,1090,0,17803.00
9,1090,1,15465.76
10,1113,0,145.77
11,1148,0,14.35
11,1148,1,15.07
12,1113,0,164443.00
12,1113,1,130.98
12,1113,2,22187.00
12,1113,3,9535.93
13,1090,0,14.92
14,1148,0,15.17
14,1148,1,15.97
15,1004,0,45686.44
15,1004,1,48947.58
16,1010,0,14.40
17,1102,0,3073.60
17,1102,1,15.13
17,1102,2,321.26
18,1113,0,3388.00
18,1113,1,282.35
18,1113,2,56.24
19,1102,0,3144.43
19,1102,1,27.66
19,1102,2,318.73
20,1113,0,281.75
21,1113,0,143439.50
21,1113,1,286.91
21,1113,2,24.02
22,1090,0,141606.89
22,1090,1,5278.38
22,1090,2,7355.02
23,1113,0,135.96
24,1148,0,14.97
24,1148,1,14.84
25,1113,0,143749.00
25,1113,1,6644.00
25,1113,2,22187.00
25,1113,3,10606.88
26,1090,0,9899.04
26,1090,1,11328.29
27,1148,0,14.24
27,1148,1,14.73
28,1113,0,130.98
28,1113,1,4310.57
29,1090,0,14.00
30,1148,0,15.00
30,1148,1,15.97
31,1004,0,44405.82
31,1004,1,47536.31
32,1010,0,22.51
33,1102,0,3069.24
33,1102,1,15.08
33,1102,2,324.82
33,1102,3,48500.55
34,1113,0,3388.00
34,1113,1,284.34
34,1113,2,56.33
34,1113,3,49019.54
35,1102,0,3140.40
35,1102,1,27.33
35,1102,2,323.24
35,1102,3,49685.36
36,1113,0,285.59
37,1113,0,287.08
37,1113,1,17.73
38,1090,0,5344.12
38,1090,1,7384.33
39,1148,0,14.75
39,1148,1,14.87
40,1113,0,135.97
40,1113,1,274.05
40,1113,2,251.99
41,1148,0,14.93
41,1148,1,14.27
42,1102,0,442.34
43,1113,0,2568.95
43,1113,1,354.26
43,1113,2,12013.20
44,1090,0,9424.02
44,1090,1,11562.36
45,1148,0,14.27
45,1148,1,14.62
46,1113,0,131.12
46,1113,1,280.75
46,1113,2,239.84
47,1148,0,14.85
47,1148,1,15.89
48,1102,0,15.07
48,1102,1,594.65
48,1102,2,48640.89
49,1113,0,282.33
49,1113,1,56.31
49,1113,2,442.69
50,1102,0,27.29
50,1102,1,325.99
50,1102,2,49600.82
51,1113,0,287.12
51,1113,1,20.77
52,1004,0,6179.00
52,1004,1,5920.84
53,1113,0,3147.50
54,1090,0,2900.56
54,1090,1,4670.89
54,1090,2,7325.90
55,1113,0,135.97
56,1148,0,14.83
56,1148,1,14.45
57,1113,0,3263.00
57,1113,1,22187.00
57,1113,2,11099.23
58,1090,0,9546.00
58,1090,1,11105.04
59,1148,0,14.22
59,1148,1,14.74
60,1113,0,131.12
60,1113,1,4141.75
61,1090,0,14.00
62,1148,0,14.62
62,1148,1,15.84
63,1004,0,12075.50
63,1004,1,45679.44
63,1004,2,48945.70
64,1090,0,52.09
65,1148,0,16.16
66,1113,0,50.75
66,1113,1,17.00
67,1090,0,16.00
67,1090,1,16.75
68,1148,0,16.00
69,1113,0,50.00
69,1113,1,17.00
70,1113,0,17.00
70,1113,1,17.00
70,1113,2,17.00
71,1004,0,23.74
71,1004,1,23.89
72,1090,0,102.53
73,1148,0,15.00
74,1113,0,100.00
74,1113,1,18.00
75,1004,0,93.96
75,1004,1,75.60
75,1004,2,77.00
76,1090,0,117.40
77,1148,0,16.00
78,1113,0,110.00
78,1113,1,19.00
79,1004,0,92.27
79,1004,1,73.40
79,1004,2,75.67
80,1045,0,137.80
